Date;Kilde;Forfatter;NNPF_assosiert
torsdag 6. mai 2021; https://www.aftenposten.no/norge/i/Ky0qLG/politiet-i-agder-kan-ikke-redegjoere-for-1600-ransakelser ; author: Mona Wikøren ; NNPF: Terje Kaddeberg Skaar
tirsdag 4. mai 2021; https://www.aftenposten.no/norge/i/dlXMzw/politiet-har-paagrepet-og-siktet-ny-mann-etter-toensberg-drapet ; author: NTB-Anders R. Christensen ; NNPF: Fredrik Borg Johannessen
onsdag 28. april 2021; https://www.aftenposten.no/norge/i/kRgLJA/politiet-ble-tilkalt-for-aa-redde-livet-til-tom-arne-nygren-i-stedet-endte-de-med-aa-ransake-leiligheten-og-sikte-ham ; author: Sofie Grønntun NissenJournalist ; NNPF: Terje Kaddeberg Skaar
torsdag 8. april 2021; https://www.aftenposten.no/meninger/kommentar/i/6zQ8X0/er-politiet-en-del-av-loesningen-eller-en-del-av-problemet ; author: Andreas Slettholm ; NNPF: Geir Evanger
tirsdag 23. mars 2021; https://www.aftenposten.no/norge/i/kRdM6X/hun-var-kone-og-mor-i-den-islamske-staten-aktor-mener-hun-maa-doemmes-til-fire-aars-fengsel ; author: Harald Stolt-NielsenJournalist ; NNPF: Geir Evanger
onsdag 24. februar 2021; https://www.aftenposten.no/norge/i/OQjMlA/brannvesenet-begynner-aa-faa-kontroll-paa-brannen-i-risoer ; author: NTB-Ole Henrik Tveten ; NNPF: Per Kristian Lund
lørdag 20. februar 2021; https://www.aftenposten.no/amagasinet/i/JJl3aX/raatt-parti ; author: Robert Veiåker Johansen ; NNPF: Eirik Olsen
onsdag 17. februar 2021; https://www.aftenposten.no/norge/i/kRQxjX/politiet-jenter-i-og-rundt-bergen-selger-nakenbilder-av-seg-selv-noen-skal-ha-tjent-titusenvis-av-kroner ; author: Per Lindberg ; NNPF: Monica Johannesen Mørk
fredag 8. januar 2021; https://www.aftenposten.no/norge/i/Ln6gnV/gjerdrum-paaroerende-ber-om-fortgang-i-letearbeidet ; author: NTB ; NNPF: Karl-Vidar Solberg
mandag 14. desember 2020; https://www.aftenposten.no/amagasinet/i/l1zaQM/Dette-er-de-norske-nettovergriperne ; author: Ingunn Røren ; NNPF: Eivind Borge
mandag 14. desember 2020; https://www.aftenposten.no/amagasinet/i/l1zaQM/Dette-er-de-norske-nettovergriperne ; author: Ingunn Røren ; NNPF: Hilde Reikrås
torsdag 10. desember 2020; https://www.aftenposten.no/norge/i/qAO7E1/kvinne-alvorlig-skadd-etter-aa-ha-kjoert-i-groefta-under-politijakt ; author: NTB ; NNPF: Ottar Steinstø
søndag 6. desember 2020; https://www.aftenposten.no/norge/i/PRRjb0/internasjonal-narkotikaoperasjon-startet-med-en-biltur-til-rena-endte-opp-i-dubai ; author: Frode Sætran ; NNPF: Kjell Arne Karlsen
søndag 6. desember 2020; https://www.aftenposten.no/norge/i/PRRjb0/internasjonal-narkotikaoperasjon-startet-med-en-biltur-til-rena-endte-opp-i-dubai ; author: Frode Sætran ; NNPF: Nora Pedersen
tirsdag 10. november 2020; https://www.aftenposten.no/norge/i/VqqEEW/tre-personer-paagrepet-i-politiaksjon-i-kristiansand ; author: NTB ; NNPF: Morten Sjustøl
mandag 9. november 2020; https://www.aftenposten.no/norge/i/399w4X/slik-vil-hun-bekjempe-gjengene-vil-gjoere-det-lettere-aa-ta-verdier-fra-kriminelle ; author: Marthe Laurendz Jensen ; NNPF: Line Steen Presthus
søndag 8. november 2020; https://www.aftenposten.no/norge/i/qAA4gg/Politiet-har-funnet-Thereses-DNA-profil ; author: NTB ; NNPF: Kjell Johan Abrahamsen
