Dato;tid;NRK_src;Yrke;Fullt_navn;NNPF_omtalt
17.10.2014; kl. 18.09;https://www.nrk.no/norge/her-er-de-100-rikeste-i-norge-under-30-ar-1.11991944;Journalist;Camilla Wernersen;"NNPF; Bjørn Henrik Hoff Schage"
17.10.2014; kl. 08.23;https://www.nrk.no/norge/200-rikeste-i-troms-1.11990039;Journalist;Signe Karin Hotvedt;"NNPF; Asbjørn Larsen"
17.10.2014; kl. 08.23;https://www.nrk.no/norge/200-rikeste-i-troms-1.11990039;Journalist;Signe Karin Hotvedt;"NNPF; Johan Pettersen"
16.10.2014; kl. 10.00;https://www.nrk.no/sorlandet/mann-pagrepet-for-voldtekt-i-grimstad-1.11989307;Journalist;Thomas Sommerset;"NNPF; Eva Marit Gaukstad"
10.10.2014; kl. 19.00;https://www.nrk.no/mr/far-og-son-er-naboar-og-kollegaer-1.11963759;Journalist;Arne Flatin;"NNPF; Reidar Kulø"
12.09.2014; kl. 11.38;https://www.nrk.no/sorlandet/ann-kristin-olsen-gir-seg-1.11928909;Journalist;Svein Sundsdal;"NNPF; Kristin Olsen"
08.07.2014; kl. 18.30;https://www.nrk.no/nordland/fikk-knivstikk-mot-halsen-1.11821395;Journalist;Markus Thonhaugen;"NNPF; Ronnie Fiskvik"
12.04.2014; kl. 15.49;https://www.nrk.no/tromsogfinnmark/arkeologer-forbloffet-over-funn-1.11660617;Journalist;Turi Enoksen;"NNPF; Rune Isaksen"
30.07.2012; kl. 06.01;https://www.nrk.no/innlandet/gasskjoleskap-eksploderte-1.8262172;Journalist;Silje Josten Lien;"NNPF; Cathrine Røed"
18.06.2012; kl. 15.04;https://www.nrk.no/innlandet/nar-jobben-er-a-se-overgrep-1.8182709;Journalist;Mette Finborud Børresen;"NNPF; Roger Næss"
11.01.2012; kl. 14.52;https://www.nrk.no/nordland/russiske-vogntog-bom-fast-1.7949855;Journalist;Susanne Skjåstad Lysvold;"NNPF; Kurt Kristoffersen"
;;;;;
